bird-genus,bird-species,bird-sex,plant-genus,plant-species,visitor-mode,mode-confidence,lat,lon,location,elevation,date-observation,source,source-notes,date-accessed,notes
Lesbia,nuna,f,Abutilon,pictum,NR,H,-13.257293,-72.262803,,2888,12/7/11,https://www.hbw.com/ibc/1107183,Tomas Grim,12/27/19,
Lesbia,nuna,m,Passiflora,tripartita var. mollissima,NR2,H,4.854593,-74.045882,,2552,3/17/13,https://www.hbw.com/ibc/1030896,Sebastián Páramo,12/27/19,evident extensive damage to base of flower allows access to nectar
Lesbia,nuna,m,Brugmansia,sanguinea,NR2,L,-13.26222222,-72.27055556,,,1/14/19,pers. obs. near https://www.inaturalist.org/observations/37206000,B.I. & P.F.,NA,"Diglossa sp. common in the area; didn't notice primary slits/holes until much later, when we dissected a flower for unrelated purpose; same bird as https://www.inaturalist.org/observations/37206000"
Lesbia,nuna,m,Fuchsia,boliviensis,NR,H,-13.26222222,-72.27055556,,,1/14/19,https://www.inaturalist.org/observations/37206000,B.I. & P.F.,NA,Diglossa sp. common in the area
Lesbia,victoriae,m,Brugmansia,sanguinea,NR,H,-0.448371,-78.430143,,3150,NA,http://stockpix.com/stock/animals/birds/hummingbirds/1393.htm,Steven Holt,12/27/19,"approximate location (Refugio de Vida Silvestre Pasochoa, Ecuador)"
Lesbia,victoriae,m,Brugmansia,sanguinea,NR2,H,4.606405,-74.055821,,,NA,https://twitter.com/diegoetorres/status/1052623106907365376,Diego Torres,12/23/19,"direct observation of secondary robbing on existing Diglossa sp. hole; coordinates approximate for site, ""Monserrate, Bogota, Colombia"""
Lesbia,nuna,f,Tecoma,sp.,NR,H,-13.16213,-72.545226,,2442,8/18/18,https://www.hbw.com/ibc/photo/green-tailed-trainbearer-lesbia-nuna/green-tailed-trainbearer-lesbia-nuna-2; https://macaulaylibrary.org/asset/117117491,buchert,12/29/19,"Crushworth/Crothfels plant ID; 7 other observations of this bird on eBird, but this one most clearly shows the robbing"
Lesbia,victoriae,m,Digitalis,purpurea,NR,H,4.603905,-74.025119,,,4/14/19,https://www.inaturalist.org/observations/25467678,@bosquedeniebla,12/29/19,exotic species
Lesbia,victoriae,m,Abutilon,pictum,NR,H,4.674588,-74.042549,,,5/19/19,https://www.inaturalist.org/observations/25395388,Felipe Arizabaleta,12/29/19,
Lesbia,victoriae,f,Salvia,leucantha,P,L,4.560456,-74.074796,,,3/29/19,https://www.inaturalist.org/observations/21823865,Rafael Augusto Pinzón Salinas,12/29/19,
Lesbia,victoriae,m,Salvia,leucantha,P,H,4.605673,-74.055525,,,2/24/19,https://www.inaturalist.org/observations/20990296,ismael-epm,12/29/19,
Lesbia,nuna,f,Impatiens,sp.,P,L,4.986597,-74.221868,,,10/19/19,https://www.inaturalist.org/observations/35054562,,12/29/19,
Lesbia,nuna,f,Pittosporum,undulatum,NA,NA,4.672635,-74.044432,,NA,9/19/19,https://www.inaturalist.org/observations/33044598,juan_carlos_caicedo_hernandez,12/29/19,exotic species
